date,median_prem
2021-03-01,16.99
2021-03-02,17.3
2021-03-03,16.82
2021-03-04,17.41
2021-03-05,16.85
2021-03-08,17.55
2021-03-09,19.73
2021-03-10,21.36
2021-03-11,20.24
2021-03-12,19.73
2021-03-15,20.75
2021-03-16,19.15
2021-03-17,19.44
2021-03-18,19.33
2021-03-19,19.65
2021-03-22,19.1
2021-03-23,18.52
2021-03-24,18.61
2021-03-25,19.15
2021-03-26,17.94
2021-03-29,17.69
2021-03-30,18.42
2021-03-31,18.4
2021-04-01,18.55
2021-04-02,19.02
2021-04-06,18.27
2021-04-07,17.81
2021-04-08,18.12
2021-04-09,18.22
2021-04-12,18.83
2021-04-13,19.48
2021-04-14,18.29
2021-04-15,18.08
2021-04-16,16.88
2021-04-19,16.98
2021-04-20,17.35
2021-04-21,17.56
2021-04-22,17.29
2021-04-23,18.36
2021-04-26,17.69
2021-04-27,17.88
2021-04-28,18.07
2021-04-29,18.77
2021-04-30,18.91
2021-05-06,19.21
2021-05-07,20.13
2021-05-10,21.15
2021-05-11,21.57
2021-05-12,20.48
2021-05-13,21.39
2021-05-14,19.93
2021-05-17,20.75
2021-05-18,21.45
2021-05-19,21.76
2021-05-20,21.96
2021-05-21,22.0
2021-05-24,21.79
2021-05-25,21.17
2021-05-26,20.68
2021-05-27,21.59
2021-05-28,21.31
2021-05-31,21.16
2021-06-01,20.35
2021-06-02,21.19
2021-06-03,21.21
2021-06-04,20.67
2021-06-07,19.79
2021-06-08,19.32
2021-06-09,19.16
2021-06-10,18.86
2021-06-11,19.75
2021-06-15,19.21
2021-06-16,19.55
2021-06-17,18.93
2021-06-18,18.42
2021-06-21,17.8
2021-06-22,17.94
2021-06-23,17.65
2021-06-24,17.81
2021-06-25,16.87
2021-06-28,17.16
2021-06-29,17.41
2021-06-30,16.72
2021-07-01,17.89
2021-07-02,18.33
2021-07-05,17.77
2021-07-06,17.98
2021-07-07,16.92
2021-07-08,18.02
2021-07-09,18.49
2021-07-12,18.56
2021-07-13,18.73
2021-07-14,19.38
2021-07-15,18.57
2021-07-16,19.52
2021-07-19,19.07
2021-07-20,20.29
2021-07-21,20.04
2021-07-22,19.81
2021-07-23,20.79
2021-07-26,21.71
2021-07-27,22.65
2021-07-28,24.19
2021-07-29,23.87
2021-07-30,23.2
2021-08-02,22.33
2021-08-03,20.96
2021-08-04,21.62
2021-08-05,23.42
2021-08-06,24.86
2021-08-09,23.47
2021-08-10,23.38
2021-08-11,23.08
2021-08-12,22.68
2021-08-13,22.71
2021-08-16,22.64
2021-08-17,23.79
2021-08-18,22.84
2021-08-19,23.67
2021-08-20,22.95
2021-08-23,22.23
2021-08-24,22.11
2021-08-25,22.79
2021-08-26,23.3
2021-08-27,22.47
2021-08-30,22.88
2021-08-31,22.12
2021-09-01,23.15
2021-09-02,23.5
2021-09-03,23.64
2021-09-06,22.88
